Query,Precision,Recall,F1,MAP,NDCG
Deep learning in computer vision,0.8,0.087,0.8000000000000002,0.7400000000000001,0.9081989035557798
Recent advances in renewable energy,0.0,0.00023,0.0,0.5,0.5601663294093672
History of ancient civilizations,0.0,0.00012,0.0,0.4,0.5381956901806435
Space exploration and future missions,0.6666666666666666,0.056666666666666666,0.6666666666666666,0.5444444444444444,0.8284089149219377
Health benefits of meditation,0.75,0.0275,0.75,0.6625,0.8789524869241682
Best practices in software development,1.0,0.46666666666666666,0.8,0.7666666666666666,0.9362150245884062
computer marvels of modern era,0.25,0.5325,0.25,0.36250000000000004,0.6368574607725045
The rise of artificial intelligence,0.25,0.252,0.22222222222222224,0.45,0.6653317941494082
The power of quantum computing,0.0,0.0580,0.0,0.4,0.5158099476966725
nanotechnology,0.0,0.0240,0.0,0.5,0.5601663294093672
artificial intelligence,0.8,0.058,0.8000000000000002,0.7400000000000001,0.9081989035557798
robotics,0.0,0.0078,0.0,0.1,0.45435593380883454
space exploration,0.0,0.0024,0.0,0.5,0.5601663294093672
neuroscience,0.0,0.0045,0.0,0.4,0.5158099476966725
cyber security,0.3333333333333333,0.2333333333333333,0.3333333333333333,0.3111111111111111,0.6568178298438754
virtual reality,0.6666666666666666,0.5,0.5714285714285715,0.5333333333333333,0.8236794875762434
machine learning,0.5,0.042,0.5,0.35,0.7232338316640191
